Date,Time,Activity,Location,Details,Notes
"Feb 11, 2026","11:00 AM","Pack & Final Prep","Home","Last-minute packing, double-check essentials","Airport departure at 3:48 PM"
"Feb 11, 2026","12:00 PM","Flight to Miami","In Transit","Frontier F9-2272: ATL→MIA | Depart 3:48 PM, Arrive 5:49 PM","2hr 1min flight"
"Feb 11, 2026","1:00 PM","Flight Arrival","Miami Airport (MIA)","Arrived 5:49 PM | Pickup car rental at 6:30 PM","1hr 41min until car pickup"
"Feb 11, 2026","2:00 PM","Drive to Islamorada","Miami → Islamorada (~2 hour drive)","Car rental pickup: 6:30 PM at Miami Airport"
"Feb 11, 2026","3:00 PM","Hotel Check-in","Amara Cay Resort - 80001 Overseas Hwy","Check-in 4:00 PM | Oceanfront Suite Two Queens | 2 guests (Adam + 1 guest)","Confirmation: 77821SG427107 | Special: Free 3rd night + $200 credit"
"Feb 11, 2026","4:00 PM","Settle In","Amara Cay Resort","Unpack, get oriented, kids can explore resort amenities"
"Feb 11, 2026","5:00 PM","Evening at Resort","Amara Cay Resort","Dinner at resort, kids enjoy pool/beach"
"Feb 11, 2026","6:00 PM","Evening","Amara Cay Resort","Family relaxation time"
"Feb 11, 2026","7:00 PM","Evening","Amara Cay Resort","Kids wind down, bedtime routine"
"Feb 11, 2026","8:00 PM","Evening","Amara Cay Resort","Quiet time for adults"
"Feb 11, 2026","9:00 PM","Evening","Amara Cay Resort","Rest before full day tomorrow"
"Feb 12, 2026","7:00 AM","Breakfast & Resort Morning","Amara Cay Resort","Resort breakfast, pool/beach time with kids"
"Feb 12, 2026","8:00 AM","Morning Activity","Amara Cay Resort","Beach time, resort exploration"
"Feb 12, 2026","9:00 AM","Mid-Morning","Amara Cay Resort","Packing lunch/snacks for day trip"
"Feb 12, 2026","10:00 AM","Mid-Morning","Amara Cay Resort","Possible activity: fishing, boat tour, or visit Robbie's Marina"
"Feb 12, 2026","11:00 AM","Late Morning","Amara Cay Resort / Area","Lunch out, explore Islamorada"
"Feb 12, 2026","12:00 PM","Lunch","Islamorada","Try local restaurant (e.g., Lazy Days, Lorelei's, or Islamorada Fish Company)"
"Feb 12, 2026","1:00 PM","Afternoon Activity","Islamorada Area","Afternoon: Alligator Reef or History of Diving Museum option"
"Feb 12, 2026","2:00 PM","Afternoon","Islamorada Area","Late afternoon: Beach time, souvenir shopping"
"Feb 12, 2026","3:00 PM","Return to Resort","Amara Cay Resort","Kids rest/play time, adults explore"
"Feb 12, 2026","4:00 PM","Late Afternoon","Amara Cay Resort","Happy Hour / Early dinner for kids"
"Feb 12, 2026","5:00 PM","Dinner","Amara Cay Resort","Family dinner, evening relaxation"
"Feb 12, 2026","6:00 PM","Evening","Amara Cay Resort","Kids bedtime, resort wind-down"
"Feb 12, 2026","7:00 PM","Evening","Amara Cay Resort","Adult quiet time / packing prep for checkout"
"Feb 12, 2026","8:00 PM","Evening","Amara Cay Resort","Rest, organize for morning departure"
"Feb 13, 2026","7:00 AM","Breakfast & Resort Morning","Amara Cay Resort","Resort breakfast, final beach/pool time"
"Feb 13, 2026","8:00 AM","Morning Activity","Amara Cay Resort","Final resort photos, packing up"
"Feb 13, 2026","9:00 AM","Mid-Morning","Amara Cay Resort","Check-out at 11:00 AM | Ensure room is tidy"
"Feb 13, 2026","10:00 AM","Late Morning","Amara Cay Resort","Load car, check room one last time"
"Feb 13, 2026","11:00 AM","Return to Miami","Islamorada → Miami","Drive to MIA (~2 hours) | Car drop-off at 5:30 PM at Flexways (MIA) | Return car"
"Feb 13, 2026","12:00 PM","Lunch","Miami Airport","Lunch at airport before afternoon/evening flight"
"Feb 13, 2026","1:00 PM","Afternoon","Miami Airport","Airport wait time, shopping/snacks"
"Feb 13, 2026","2:00 PM","Afternoon","Miami Airport","Check-in for flight, browse shops"
"Feb 13, 2026","3:00 PM","Afternoon","Miami Airport","Pre-flight snacks, relax before boarding"
"Feb 13, 2026","4:00 PM","Afternoon","Miami Airport","Final prep, ensure everyone has ID/documents"
"Feb 13, 2026","5:00 PM","Evening","Miami Airport","Board Frontier F9-4405 to ATL | Depart 7:09 PM, Arrive 9:45 PM | Confirmation: UH51YJ"
"Feb 13, 2026","6:00 PM","Evening","In Transit","Flight in progress | Frontier F9-4405: MIA→ATL"
"Feb 13, 2026","7:00 PM","Evening","In Transit","Flight in progress | ~2hr 36min flight"
"Feb 13, 2026","8:00 PM","Evening","In Transit","Flight approaching Atlanta | Prepare for arrival"
"Feb 13, 2026","9:00 PM","Arrival","Hartsfield-Jackson Atlanta (ATL)","Arrived 9:45 PM EST | Pick up checked bags | Uber/taxi home"
"Feb 13, 2026","10:00 PM","Arrival","Home","Arrive home, unpack, kids wind down"
"Feb 14, 2026","7:00 AM","Morning","Home","Sleep in, recover from travel"
"Feb 14, 2026","8:00 AM","Morning","Home","Back to normal routine, laundry, post-trip organization"
